epoch,lane,head,cum_root_ms,win_root_ms
1784443497,SALT,15718,4.0325,4.2440
1784443527,MPT,15639,7.1579,8.0783
1784443527,SALT,15834,4.0332,4.1233
1784443557,MPT,15753,7.1640,8.0000
1784443557,SALT,15950,4.0334,4.0629
1784443587,MPT,15867,7.1697,7.9565
1784443587,SALT,16066,4.0386,4.7629
1784443617,MPT,15982,7.1743,7.8070
1784443617,SALT,16182,4.0407,4.3284
1784443647,MPT,16097,7.1756,7.3652
1784443648,SALT,16299,4.0399,3.9265
1784443678,MPT,16211,7.1764,7.2895
1784443678,SALT,16415,4.0378,3.7466
1784443708,MPT,16325,7.1836,8.2000
1784443708,SALT,16531,4.0405,4.4233
1784443738,MPT,16440,7.1880,7.8158
1784443738,SALT,16647,4.0407,4.0698
1784443768,MPT,16555,7.1906,7.5652
1784443768,SALT,16763,4.0407,4.0402
1784443798,MPT,16669,7.1962,8.0000
1784443798,SALT,16880,4.0421,4.2422
1784443828,MPT,16783,7.2030,8.2018
1784443828,SALT,16996,4.0430,4.1741
1784443858,MPT,16898,7.2104,8.2870
1784443858,SALT,17112,4.0437,4.1379
1784443888,MPT,17012,7.2168,8.1667
1784443888,SALT,17228,4.0444,4.1560
1784443919,MPT,17126,7.2249,8.4298
1784443919,SALT,17344,4.0458,4.2440
1784443949,MPT,17240,7.2331,8.4649
1784443949,SALT,17460,4.0475,4.3121
1784443979,MPT,17355,7.2396,8.2174
1784443979,SALT,17576,4.0486,4.2034
1784444009,MPT,17469,7.2460,8.2193
1784444009,SALT,17693,4.0495,4.1889
1784444039,MPT,17583,7.2537,8.4386
1784444039,SALT,17809,4.0508,4.2534
1784444069,MPT,17697,7.2602,8.2632
1784444069,SALT,17925,4.0523,4.2845
1784444099,MPT,17811,7.2684,8.5217
1784444099,SALT,18041,4.0529,4.1422
1784444129,MPT,17926,7.2733,8.0439
1784444129,SALT,18157,4.0537,4.1853
1784444159,MPT,18040,7.2808,8.4561
1784444160,SALT,18273,4.0554,4.3086
1784444190,MPT,18154,7.2877,8.3860
1784444190,SALT,18389,4.0567,4.2733
1784444220,MPT,18268,7.2944,8.3478
1784444220,SALT,18505,4.0577,4.2095
1784444250,MPT,18383,7.2959,7.5351
1784444250,SALT,18622,4.0559,3.7641
