epoch,lane,head,cum_root_ms,win_root_ms
1784413377,JMT,7157,16.4834,11.2857
1784413403,MPT,7346,13.9024,15.8727
1784413403,JMT,7254,16.4141,11.2857
1784413407,MPT,7360,13.9054,15.8727
1784413407,JMT,7269,16.4032,11.2768
1784413433,MPT,7456,13.9278,15.6273
1784413433,JMT,7366,16.3318,11.0000
1784413437,MPT,7470,13.9311,15.6455
1784413437,JMT,7381,16.3191,10.8571
1784413463,MPT,7566,13.9414,14.8636
1784413463,JMT,7478,16.2461,10.6071
1784413467,MPT,7581,13.9446,14.8559
1784413467,JMT,7493,16.2352,10.7054
1784413493,MPT,7676,13.9624,15.3874
1784413493,JMT,7590,16.1731,11.3036
1784413497,MPT,7691,13.9649,15.3636
1784413497,JMT,7605,16.1640,11.4018
1784413523,MPT,7786,14.0150,17.7248
1784413523,JMT,7685,16.5239,44.5474
1784413527,MPT,7800,14.0183,17.7890
1784413527,JMT,7700,16.5140,44.5368
1784413554,MPT,7896,14.0389,15.7273
1784413554,JMT,7797,16.4503,11.4018
1784413558,MPT,7910,14.0435,15.8273
1784413558,JMT,7812,16.4406,11.3929
1784413584,MPT,8006,14.0696,16.2727
1784413584,JMT,7909,16.3896,12.1607
1784413588,MPT,8020,14.0743,16.2909
1784413588,JMT,7924,16.3805,12.1875
1784413614,MPT,8115,14.1237,18.1009
1784413614,JMT,8003,16.8751,57.2947
1784413618,MPT,8129,14.1279,18.0734
1784413618,JMT,8018,16.8677,57.9362
1784413644,MPT,8225,14.1528,16.3000
1784413644,JMT,8115,16.8097,12.0991
1784413648,MPT,8239,14.1574,16.3364
1784413648,JMT,8130,16.8007,12.0089
1784413674,MPT,8334,14.1843,16.5596
1784413674,JMT,8227,16.7456,12.0982
1784413678,MPT,8349,14.1897,16.6091
1784413678,JMT,8241,16.7368,12.0541
1784413704,MPT,8444,14.2166,16.6636
1784413704,JMT,8338,16.6823,11.9910
1784413708,MPT,8458,14.2218,16.6789
1784413708,JMT,8353,16.6737,12.0268
1784413734,MPT,8554,14.2509,16.8818
1784413734,JMT,8450,16.6194,11.9375
1784413738,MPT,8568,14.2553,16.8273
1784413738,JMT,8465,16.6109,11.9286
